,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
481,sales consultant ,2.0,CO,RENT,6000,36,15.04
482,executive director ,3.0,FL,MORTGAGE,40000,60,21.45
483,customer service manager,6.0,WI,RENT,2500,36,17.09
484,installer,1.0,MI,RENT,7000,36,20.0
485,district manager,3.0,CA,RENT,8000,36,9.44
486,depart head ,2.0,AR,OWN,12000,60,15.04
487,sr culinary manager,10.0,MD,MORTGAGE,15000,60,20.39
488,laborer,0.0,CA,RENT,4000,36,7.97
489,asmt,10.0,FL,RENT,6500,36,11.98
490,president,8.0,NJ,OWN,40000,36,6.07
491,document control specialist,2.0,AZ,MORTGAGE,32000,60,21.45
492,painter ,10.0,NC,RENT,10000,36,9.44
493,designer,2.0,FL,RENT,15000,36,9.43
494,,,IL,MORTGAGE,12000,60,21.85
495,sales,10.0,FL,MORTGAGE,24000,60,11.99
496,owner,6.0,CO,RENT,15000,60,10.42
497,patient financial services,2.0,CA,RENT,15000,36,13.59
498,master inspecter,10.0,IN,MORTGAGE,10000,36,7.35
499,merchandise and lnventory leader,9.0,CA,RENT,8000,36,6.71
500,owner,5.0,CT,MORTGAGE,6300,36,9.44
501,computer repair consultant,10.0,AR,MORTGAGE,4500,36,6.72
502,registered nurse,10.0,AK,MORTGAGE,30000,36,7.97
503,sales representative,1.0,AZ,RENT,12000,60,15.05
504,director of financial services,8.0,PA,MORTGAGE,16000,36,6.72
505,partner,2.0,TN,OWN,24000,36,5.32
506,practice manager,10.0,FL,OWN,15000,36,17.47
507,feeder,9.0,IN,MORTGAGE,15000,36,15.05
508,manager,10.0,OH,OWN,14000,36,10.91
509,assistant general manager,1.0,NY,RENT,35000,60,21.45
510,clinical coordinator ,10.0,GA,MORTGAGE,12000,36,5.32
511,vp aquisitions,10.0,CA,MORTGAGE,35000,36,12.62
512,line lead,10.0,PA,MORTGAGE,10000,36,12.61
513,plumber,1.0,NY,RENT,5000,36,10.91
514,officer,10.0,TN,MORTGAGE,36500,36,5.32
515,supervisor,7.0,IN,MORTGAGE,4800,36,7.96
516,receptionist,3.0,SC,MORTGAGE,25000,36,11.99
517,electrician,10.0,MI,MORTGAGE,20000,36,6.08
518,driver,4.0,MN,MORTGAGE,2400,36,13.58
519,customer service,10.0,AR,RENT,6000,36,7.35
520,veterans service representative,9.0,FL,MORTGAGE,20000,36,7.97
521,accountant,2.0,MD,MORTGAGE,24000,36,10.42
522,sales associate ,2.0,NY,RENT,15000,36,6.71
523,driver,10.0,VA,MORTGAGE,20000,36,5.31
524,store manager ,2.0,CA,RENT,11000,36,12.61
525,rn,5.0,FL,MORTGAGE,7500,36,25.82
526,chef,8.0,MA,MORTGAGE,14800,36,18.06
527,marketing,5.0,NJ,RENT,20000,36,9.44
528,operating engineer,3.0,CT,RENT,10000,36,19.03
529,machinist,10.0,UT,MORTGAGE,22000,36,5.32
530,owner,10.0,SC,MORTGAGE,10000,36,11.99
531,supervisor,4.0,CA,RENT,13000,36,7.96
532,service specialist,1.0,WA,MORTGAGE,32000,36,18.45
533,office manager,3.0,CT,MORTGAGE,32000,60,28.72
534,sales specialist,10.0,OH,MORTGAGE,20000,60,9.92
535,full charge book keeper,4.0,NC,RENT,2050,36,7.96
536,,,OH,OWN,12000,36,13.58
537,associate ,3.0,NJ,RENT,12000,36,7.34
538,satellite network engineer,4.0,LA,OWN,12000,36,9.43
539,sales,7.0,CO,MORTGAGE,5400,36,15.05
540,project coordinator,2.0,NY,RENT,6000,36,11.98
541,registered nurse,5.0,AL,RENT,7400,36,13.59
542,cleaner,5.0,MD,RENT,8000,36,14.08
543,nurse,5.0,IL,RENT,12000,60,14.07
544,prep cook,6.0,OH,OWN,10000,36,16.01
545,transportation specialist,2.0,OK,MORTGAGE,40000,36,9.43
546,,,CA,RENT,9500,36,9.93
547,sr programmer,10.0,MD,OWN,15000,60,12.61
548,bus operator ,2.0,CO,RENT,14000,60,14.08
549,meat wrapper,10.0,MI,MORTGAGE,10000,60,16.02
550,regional account manager,3.0,GA,MORTGAGE,35000,60,19.03
551,project manager,5.0,OK,RENT,11500,60,9.93
552,automotive technician,10.0,IN,MORTGAGE,21975,36,7.96
553,accounts receivable coordinator,4.0,FL,MORTGAGE,12000,36,10.91
554,radiologic technologist,2.0,NJ,RENT,23000,60,18.06
555,teacher,10.0,KS,RENT,10000,36,5.31
556,ceo,10.0,IL,MORTGAGE,40000,60,11.98
557,srv analysts ,7.0,TX,RENT,20000,36,21.85
558,program manager,10.0,NY,MORTGAGE,10000,36,7.35
559,police officer,6.0,NJ,MORTGAGE,40000,60,9.93
560,,,CA,OWN,15000,36,6.08
561,night operations manager ,10.0,FL,OWN,8000,36,16.01
562,reciever,0.0,MA,RENT,6025,36,10.9
563,registered nurse,3.0,NY,RENT,30000,36,7.35
564,senior cohort sales advisor,3.0,VA,RENT,20000,60,9.93
565,quantitative modeller,2.0,OR,MORTGAGE,35000,36,6.72
566,programs manager,2.0,NC,MORTGAGE,12000,36,9.92
567,store associate,10.0,NY,RENT,15000,60,21.45
568,fleet manager,8.0,FL,RENT,13000,60,21.85
569,lineman,10.0,OH,MORTGAGE,20000,36,20.0
570,mechanic,1.0,WI,OWN,1600,36,10.9
571,tank relocation specialist ,3.0,KY,OWN,6000,36,13.58
572,owner,10.0,NY,OWN,30000,60,21.85
573,locomotive engineer,10.0,NY,OWN,15000,36,10.9
574,hr director ,5.0,OH,RENT,3000,36,10.42
575,loan officer,10.0,CT,MORTGAGE,39600,36,22.91
576,,,MS,OWN,5000,36,12.62
577,human resources director,2.0,WA,MORTGAGE,18875,36,14.07
578,ceo,10.0,MO,MORTGAGE,40000,36,15.05
579,mechanic,8.0,NY,MORTGAGE,15000,60,9.93
580,security supervisor,6.0,MS,RENT,6000,36,16.01
581,store manager,1.0,CA,MORTGAGE,12500,60,12.62
582,administrative assistant-requisitions,3.0,AK,MORTGAGE,9500,36,7.35
583,business analyst,0.0,SC,MORTGAGE,13000,60,15.04
584,patrolman,1.0,NJ,RENT,20000,36,9.44
585,account executive,3.0,CA,MORTGAGE,35000,36,16.01
586,,,AL,RENT,7000,36,10.9
587,owner/manager,0.0,GA,RENT,16700,36,6.72
588,supervisory passport specialist ,10.0,GA,RENT,15000,36,9.93
589,vp global business development,10.0,TX,MORTGAGE,40000,36,11.99
590,program coordinator,0.0,MI,MORTGAGE,24000,36,9.93
591,store manager,9.0,FL,RENT,4000,36,10.41
592,chief solutions officer,10.0,TN,MORTGAGE,35000,36,13.59
593,,,GA,MORTGAGE,9525,36,15.05
594,sales,7.0,TX,RENT,13500,60,14.08
595,housekeeper,10.0,NY,RENT,20000,36,19.03
596,chefs ,6.0,VA,RENT,10000,36,6.08
597,driver,4.0,OH,OWN,3500,36,11.99
598,department manager,10.0,GA,MORTGAGE,9000,36,5.31
599,teacher,5.0,WA,MORTGAGE,15000,60,12.62
600,executive assistant,9.0,CA,RENT,5000,36,13.59
601,farmer,5.0,MN,RENT,5000,36,13.59
602,lpn ,1.0,NY,OWN,2200,36,11.98
603,owner,3.0,OH,MORTGAGE,10000,36,14.08
604,enterprise product manager,1.0,CA,RENT,2000,36,15.05
605,account supervisor,10.0,MA,RENT,6025,36,12.62
606,healthcare coordinator,4.0,FL,MORTGAGE,28000,60,10.9
607,"vice president, sales and marketing",10.0,CA,MORTGAGE,10000,60,10.9
608,unexploded ordnance technician 2,8.0,VA,RENT,38400,36,6.72
609,"registered nurse,charge",7.0,KY,OWN,40000,36,9.92
610,marketing support specialist,5.0,OH,RENT,18000,60,16.02
611,vocational rehabilitation counselor,2.0,CA,RENT,10000,36,9.43
612,owner operator,4.0,PA,OWN,27000,60,11.99
613,,,MS,RENT,15000,60,13.59
614,engineer,10.0,TX,RENT,24000,36,6.72
615,assistant librarian,10.0,NY,RENT,10000,36,13.58
616,field biologist,1.0,LA,OWN,6250,36,9.92
617,field supervisor,10.0,AZ,MORTGAGE,25000,36,10.41
618,selling specialist,0.0,FL,RENT,4000,36,10.91
619,"manager, data surveys",10.0,FL,RENT,36000,60,12.61
620,rn clinical educator,10.0,IN,MORTGAGE,12000,36,10.91
621,partner,10.0,CA,RENT,20000,36,6.07
622,register nurse,2.0,NC,RENT,20000,36,10.42
623,"sports manager, ad sales marketing",2.0,NJ,MORTGAGE,16000,36,9.43
624,president,5.0,FL,MORTGAGE,21000,36,6.08
625,operations manager,2.0,RI,MORTGAGE,20000,60,10.91
626,marketing manager,10.0,TX,OWN,7200,36,6.07
627,executive assistant/office manager ,2.0,WA,RENT,22000,60,9.44
628,assistant,3.0,CA,RENT,10000,36,16.02
629,distribution manager,10.0,KY,MORTGAGE,8500,36,10.42
630,director international relations,9.0,NJ,MORTGAGE,15000,60,9.44
631,commercial analyst,0.0,NJ,RENT,5000,36,7.34
632,alarm technician ,10.0,NY,MORTGAGE,30000,36,19.42
633,caregiver & geiger,10.0,WA,RENT,21000,36,15.05
634,c&c operator,10.0,NY,MORTGAGE,20000,60,16.02
635,credit support specialist,0.0,CA,RENT,21600,60,16.02
636,registered nurse,1.0,IL,RENT,28000,60,14.07
637,account executive ,4.0,MN,MORTGAGE,35000,36,10.41
638,custodial,10.0,NY,MORTGAGE,5000,36,14.08
639,manager,9.0,KS,MORTGAGE,6000,36,11.99
640,corporate ehs officer,0.0,NC,RENT,25000,60,10.42
641,payroll administration ,3.0,TX,MORTGAGE,15000,60,13.59
642,supervisor,8.0,NE,MORTGAGE,8000,36,6.08
643,electronic tech iv,4.0,CA,MORTGAGE,35200,36,6.71
644,hairstylist,10.0,TX,MORTGAGE,6000,36,10.42
645,waitress,10.0,LA,OWN,6000,36,7.34
646,cook,10.0,MO,RENT,10000,36,17.47
647,sales manager,10.0,NJ,OWN,35000,36,9.93
648,executive vice president,3.0,PA,MORTGAGE,35000,60,17.09
649,rn,7.0,OH,MORTGAGE,24000,60,12.62
650,doorman,2.0,NY,RENT,15000,60,21.45
651,,,CA,RENT,2000,36,7.97
652,senior banker,7.0,NJ,MORTGAGE,40000,60,9.93
653,,,AZ,RENT,7500,36,7.96
654,realtor,8.0,MA,OWN,10000,36,6.72
655,senior paralegal,5.0,GA,OWN,24000,60,16.01
656,teacher aide,2.0,NY,RENT,10000,36,7.96
657,deputy,4.0,GA,MORTGAGE,9500,36,10.42
658,licensed staff agent,10.0,WV,MORTGAGE,11500,36,6.08
659,pharmaceutical sales rep,2.0,IL,OWN,18000,36,6.72
660,paraprofessional,4.0,FL,MORTGAGE,10000,36,5.31
661,campus safety officer,0.0,CO,MORTGAGE,6000,36,10.42
662,teacher,10.0,NC,MORTGAGE,30000,60,25.81
663,consultant,8.0,NY,RENT,15000,36,7.35
664,quality team leader,8.0,MI,MORTGAGE,14000,60,10.9
665,,,OR,OWN,9500,36,5.32
666,crane operator ,10.0,FL,MORTGAGE,10000,36,16.02
667,data analyst,1.0,CA,RENT,6000,36,9.92
668,operator,3.0,ND,RENT,30000,36,6.71
669,law enforcement/traffic control ,10.0,TX,RENT,10000,36,14.08
670,teacher,10.0,TX,RENT,12000,36,9.44
671,senior vice president,9.0,MD,MORTGAGE,16000,36,16.02
672,client service manager,4.0,WI,MORTGAGE,24000,36,10.42
673,teacher ,2.0,TX,RENT,4000,36,7.97
674,superviser,10.0,IN,MORTGAGE,8500,36,16.02
675,captain,10.0,TX,MORTGAGE,3100,36,9.43
676,accountant,10.0,VA,MORTGAGE,20000,36,11.98
677,owner,10.0,CO,OWN,25000,60,10.9
678,help desk analyst,0.0,TX,RENT,21000,36,6.71
679,chemist,2.0,MA,RENT,8000,36,6.71
680,executive,10.0,MO,MORTGAGE,30000,36,19.03
681,manager,10.0,IL,MORTGAGE,20400,60,23.88
682,dispatcher ,3.0,IN,MORTGAGE,2500,36,10.9
683,full stack developer,1.0,IL,RENT,15000,60,19.03
684,graduate assistant,3.0,NM,RENT,10000,36,6.72
685,caregiver coordinator,2.0,NV,RENT,16000,36,9.44
686,creative director,1.0,NY,RENT,9000,36,5.31
687,electrical engineer technician ii,1.0,SC,MORTGAGE,24000,60,14.07
688,service manager,2.0,VA,MORTGAGE,7000,36,13.58
689,specimen processor ,2.0,UT,MORTGAGE,10000,36,14.08
690,owner,4.0,IL,RENT,5000,36,9.43
691,sous chef,10.0,FL,OWN,17000,36,10.91
692,consultant,4.0,CA,RENT,4000,36,16.02
693,propane clerk,2.0,MT,RENT,18000,36,18.06
694,special education teacher,5.0,NY,MORTGAGE,9000,36,5.31
695,warehouseman ,10.0,CA,RENT,18300,60,11.99
696,tech ,10.0,MN,MORTGAGE,16000,60,28.72
697,agency owner-president,10.0,CO,MORTGAGE,15600,36,16.01
698,educator ,9.0,AL,RENT,6000,36,10.91
699,stock guy,10.0,NY,RENT,24000,36,12.62
700,service technician,1.0,MI,RENT,10000,60,22.91
701,radiology technologisty,10.0,GA,OWN,7500,36,17.09
702,user experience researcher,3.0,GA,MORTGAGE,16000,36,10.42
703,crew bus driver,0.0,WI,MORTGAGE,12150,36,7.97
704,manager,0.0,WA,MORTGAGE,10000,36,14.08
705,receptionist,10.0,CA,RENT,10000,36,7.34
706,financial services officer,10.0,KY,MORTGAGE,29500,60,7.34
707,,,NY,OWN,10000,36,11.99
708,operations analyst,3.0,NY,RENT,12800,60,11.99
709,billing rep,1.0,PA,MORTGAGE,6000,36,10.91
710,architect,10.0,TX,MORTGAGE,25000,60,9.44
711,driver,3.0,PA,RENT,6000,36,6.72
712,branch manager,10.0,FL,RENT,32000,60,18.45
713,medical doctor,3.0,MN,MORTGAGE,16800,60,10.42
714,data architect,2.0,MA,RENT,16000,36,17.09
715,office manager,10.0,WI,RENT,10000,36,16.01
716,,,OH,OWN,10000,36,15.04
717,vice president of operations,10.0,MA,MORTGAGE,10000,60,30.17
718,airman ,7.0,MD,RENT,8000,36,7.97
719,parts ,10.0,MI,OWN,12000,36,9.44
720,mammography supervisor ,10.0,SC,OWN,10000,60,12.61
721,problem manager ,5.0,CO,RENT,23000,60,16.02
722,tfs tech,10.0,TX,MORTGAGE,40000,60,14.08
723,pastor,10.0,NY,MORTGAGE,22900,36,10.91
724,aasp,10.0,MO,MORTGAGE,13500,60,17.47
725,account manager,10.0,IN,MORTGAGE,30000,60,17.09
726,bookkeeper ,10.0,NY,MORTGAGE,20000,60,17.47
727,senior auditor,0.0,AZ,OWN,24000,60,10.42
728,lead clerk,10.0,TN,MORTGAGE,6000,36,10.91
729,sales,10.0,IL,MORTGAGE,10000,36,6.07
730,account manager,1.0,CA,RENT,11000,60,16.02
731,driver,3.0,SC,MORTGAGE,16000,60,22.91
732,mortgage banker,1.0,NJ,RENT,5775,36,11.99
733,machine operator,10.0,CT,RENT,10000,60,12.61
734,site manager,3.0,MT,RENT,16000,60,19.03
735,divisional secretary (coo),10.0,OR,RENT,35000,60,15.04
736,teacher,1.0,CA,RENT,40000,36,6.07
737,correctional officer,10.0,CA,MORTGAGE,12000,36,14.08
738,lpn,10.0,GA,MORTGAGE,14000,60,10.9
739,production manager,10.0,MO,MORTGAGE,8000,36,6.07
740,owner/partner,2.0,MA,RENT,14000,36,10.91
741,marketing coordinator,9.0,FL,OWN,18000,36,6.72
742, admin,3.0,GA,MORTGAGE,20000,60,9.44
743,sales consultant,10.0,HI,RENT,35000,60,25.81
744,executive director,3.0,MA,OWN,6025,36,12.61
745,business manager,9.0,IL,RENT,10000,60,12.61
746,cashier,1.0,FL,OWN,6000,36,7.35
747,chief cyber operations,10.0,TX,MORTGAGE,25000,60,20.0
748,rn,8.0,SC,MORTGAGE,24000,60,24.84
749,mechanical sustaining engineer,2.0,MA,RENT,5400,36,6.08
750,,,NJ,RENT,5000,36,11.99
751,manager,10.0,OH,MORTGAGE,22250,60,9.44
752,otr driver,1.0,MN,MORTGAGE,10000,36,5.32
753,director,1.0,AZ,MORTGAGE,27000,60,9.92
754,manager,6.0,FL,RENT,4000,36,21.45
755,owner,10.0,CA,MORTGAGE,16000,60,12.61
756,,,IL,MORTGAGE,4000,36,14.08
757,warehouse supervisor,7.0,NY,MORTGAGE,9600,36,10.9
758,sales manager,2.0,NY,RENT,7000,36,15.05
759,operations manager,4.0,WA,RENT,8000,36,11.98
760,case managet loan,1.0,MN,RENT,15775,36,10.91
761,sales,10.0,VA,MORTGAGE,2000,36,14.07
762,owner / operator,10.0,NM,OWN,14000,60,17.09
763,mechanical designer,3.0,OR,RENT,16175,36,30.75
764,counselor,1.0,AZ,RENT,16000,60,29.69
765,senior technical support engineer,4.0,ME,MORTGAGE,7500,36,11.98
766,senior web developer,9.0,WA,MORTGAGE,10000,36,5.32
767,maintenance supervisor,10.0,OH,MORTGAGE,24000,60,13.59
768,reservation sales representative,3.0,TN,MORTGAGE,16000,60,15.05
769,regional asset manager,1.0,NC,MORTGAGE,28000,60,14.08
770,,,NY,MORTGAGE,16000,60,19.03
771,electrical engineer,2.0,IN,MORTGAGE,26650,60,13.59
772,sr account executive ,10.0,GA,MORTGAGE,7625,36,12.61
773,interior designer ,0.0,CA,RENT,10000,36,18.06
774,ceo,10.0,HI,MORTGAGE,9800,36,14.08
775,teacher/coach,10.0,AL,MORTGAGE,16000,36,18.06
776,asst mngr,3.0,FL,RENT,40000,36,6.07
777,superintendent,7.0,GA,MORTGAGE,4800,36,11.99
778,owner,2.0,LA,RENT,40000,36,5.31
779,probation officer,9.0,CA,RENT,15000,60,10.42
780,cna,10.0,CO,RENT,3600,36,6.08
781,truck driver,10.0,AR,MORTGAGE,10000,60,18.06
782,mortgage lending administrator,10.0,WA,MORTGAGE,4000,36,15.05
783,nanny,0.0,IL,MORTGAGE,8000,36,6.72
784,communications officer,4.0,OH,OWN,8000,36,12.62
785,principal consultant,3.0,CO,RENT,20000,36,6.07
786,manufacturing,10.0,WI,MORTGAGE,6000,36,5.32
787,production tech,10.0,KS,MORTGAGE,3000,36,7.34
788,rn,10.0,CO,MORTGAGE,12000,36,9.93
789,manager ,10.0,CA,MORTGAGE,30000,60,15.04
790,truck driver,10.0,MA,MORTGAGE,35000,36,6.07
791,dental asst,10.0,CA,MORTGAGE,15000,60,10.41
792,continuous improvement,10.0,IN,MORTGAGE,40000,60,5.32
793,custidian,3.0,CA,RENT,10000,36,16.01
794,nurse,10.0,HI,RENT,28000,60,28.72
795,architect,7.0,MA,RENT,5000,36,7.35
796,network architect,2.0,NE,MORTGAGE,16500,36,5.31
797,driver,0.0,AZ,RENT,23000,36,6.72
798,cigarette selector 2,3.0,TX,MORTGAGE,7000,36,7.97
799,cpc medical coder,2.0,AZ,MORTGAGE,21000,60,15.04
800,mechanic ,2.0,CA,RENT,12000,60,21.45
801,overnight flight coordinator,2.0,CT,RENT,12000,60,14.07
802,nutrition nurse navigator,3.0,WI,OWN,20000,36,6.72
803,,,WA,OWN,7000,36,11.99
804,fork lift mechanic ,2.0,TX,RENT,15000,60,10.9
805,technician,1.0,NY,MORTGAGE,10400,36,6.72
806,,,OH,RENT,8000,36,9.92
807,ltl truck driver,3.0,CA,OWN,20000,36,7.97
808,,,FL,OWN,10000,36,7.34
809,supply chain supervisor,2.0,MD,RENT,3800,36,9.92
810,presidnet,10.0,CA,MORTGAGE,40000,36,9.43
811,material handler,2.0,GA,OWN,4375,36,10.42
812,account manager ,5.0,CO,OWN,14400,36,16.02
813,senior writer,4.0,TX,OWN,6000,36,6.08
814,sales representative,7.0,NY,RENT,10000,36,20.39
815,plant lead,10.0,CO,MORTGAGE,8000,36,13.59
816,lpn,10.0,MS,MORTGAGE,19200,60,9.44
817,analyst,10.0,VA,RENT,3000,36,10.42
818,plumber,4.0,IN,MORTGAGE,12000,60,9.92
819,camera repair technician,8.0,CA,RENT,19200,60,11.99
820,rural delivery ,10.0,CO,MORTGAGE,13500,36,6.72
821,director of global compliance,10.0,PA,MORTGAGE,35000,36,18.06
822,,,OH,MORTGAGE,40000,60,9.93
823,director of property operations,3.0,CA,RENT,10000,36,10.42
824,,,WI,RENT,4000,36,14.08
825,vp interior design ,10.0,NV,MORTGAGE,36000,60,9.43
826,legal assistant,9.0,TX,MORTGAGE,8000,36,16.02
827,manager,2.0,DC,RENT,10000,36,6.72
828,teacher,10.0,IL,RENT,7000,36,9.43
829,facilities officer,9.0,VA,MORTGAGE,10000,36,7.35
830,project manager,0.0,MO,RENT,16500,36,6.08
831,director,9.0,PA,RENT,8000,36,6.08
832,teacher ,4.0,NY,RENT,16800,36,10.91
833,general manager,5.0,CO,MORTGAGE,10000,60,17.09
834,national sales manager,4.0,IL,MORTGAGE,10000,60,19.42
835,,,CA,RENT,25000,60,11.99
836,bookkeeper and human resources,0.0,FL,MORTGAGE,10000,36,13.58
837,sales chat banker,3.0,ID,MORTGAGE,12000,36,11.99
838,supervisory msa,2.0,IL,RENT,10800,60,13.59
839,sales/it consulting ,2.0,IL,RENT,8500,36,9.44
840,mechanic ,2.0,OR,MORTGAGE,10000,36,17.09
841,service manager,5.0,FL,RENT,10800,60,11.98
842,customer service ,4.0,WI,MORTGAGE,36000,36,20.39
843,office manager,3.0,NJ,MORTGAGE,17950,60,26.3
844,manager,10.0,MA,MORTGAGE,20000,60,13.59
845,owner,5.0,IL,OWN,20000,36,9.93
846,community outreach & development manager,6.0,NJ,RENT,6000,36,10.41
847,designer,4.0,FL,MORTGAGE,7000,36,12.62
848,,,NJ,RENT,3000,36,17.09
849,financial analyst,3.0,OH,RENT,6000,36,6.07
850,lieutenant,10.0,NE,MORTGAGE,28000,60,24.85
851,real estate,10.0,OK,OWN,10000,36,10.91
852,dental assistant ,7.0,WA,MORTGAGE,5000,36,5.31
853,chief nursing officer,0.0,PA,RENT,40000,36,6.08
854,occupational therapist,4.0,CO,MORTGAGE,4000,36,6.07
855,clinical care manager,2.0,LA,MORTGAGE,22000,36,9.43
856,librarian,10.0,NY,RENT,8000,36,14.07
857,financial officer,2.0,PA,MORTGAGE,10000,36,17.09
858,plumber,2.0,DC,MORTGAGE,25200,60,11.98
859,,,VA,RENT,30000,36,14.07
860,anesthesia tech,5.0,PA,MORTGAGE,12000,60,9.92
861,maintenance superintendent,0.0,VA,MORTGAGE,10000,36,5.32
862,handyman,2.0,VA,RENT,10000,60,16.02
863,service drive manager,10.0,AZ,MORTGAGE,35000,60,17.47
864,teacher,10.0,NH,MORTGAGE,25600,36,9.43
865,teacher,10.0,CA,RENT,30000,36,16.02
866,teacher /specialist,6.0,NV,MORTGAGE,25000,36,9.93
867,general maintenance,4.0,KY,MORTGAGE,29825,60,9.93
868,district manager ,10.0,IL,RENT,20000,36,9.93
869,carpenter,10.0,CA,MORTGAGE,24000,60,10.9
870,machinist,3.0,KS,OWN,20000,36,10.42
871,regional hr manager,10.0,MS,MORTGAGE,7500,36,11.99
872,sales account manager,10.0,SC,RENT,10000,60,26.3
873,motor vehicle operator,10.0,KS,OWN,10000,60,9.43
874,owner ,2.0,MI,OWN,29600,36,7.97
875,sergeant,4.0,NH,OWN,6100,36,11.98
876,medical support assistant ,10.0,MI,MORTGAGE,25000,60,15.04
877,editorial director,6.0,LA,MORTGAGE,24000,36,7.97
878,owner operator,9.0,TX,OWN,10000,36,14.08
879,department manager ,0.0,MO,RENT,13000,36,19.03
880,sr operations manager,10.0,TX,MORTGAGE,8000,36,7.96
881,director,0.0,CA,OWN,18000,60,9.44
882,owner ,5.0,WV,OWN,8000,36,11.99
883,truck driver,1.0,AL,MORTGAGE,20000,60,13.59
884,machine operator,5.0,IN,OWN,9000,36,7.97
885,correctional probation sr officer,3.0,FL,RENT,25000,60,16.02
886,sr manager,0.0,CO,MORTGAGE,30000,60,12.62
887,owner,7.0,WA,RENT,7000,36,5.32
888,nurse practitioner,3.0,NC,RENT,15000,36,7.97
889,human resources manager,10.0,TX,OWN,30000,36,12.61
890,assistant office manager,3.0,AZ,RENT,15000,36,11.98
891,csr,4.0,AR,MORTGAGE,16000,60,16.01
892,production and warehouse,5.0,OR,OWN,16800,60,18.45
893,call center manager,9.0,IL,OWN,11200,36,10.9
894,,,VA,RENT,11000,36,9.92
895,,,IL,OWN,27000,36,12.61
896,fleet manager,6.0,CA,RENT,30000,60,11.99
897,electronic tech,10.0,NV,MORTGAGE,28000,60,9.43
898,project manager ,10.0,NJ,OWN,17600,60,10.9
899,,,CA,OWN,18000,36,20.39
900,teacher,10.0,NY,MORTGAGE,19000,36,9.44
901,physical therapist,3.0,OH,MORTGAGE,28800,60,9.44
902,used car director,2.0,OK,MORTGAGE,18000,36,12.61
903,detailer,0.0,CA,RENT,15000,36,16.01
904,business process compliance ,0.0,OH,MORTGAGE,16000,36,12.61
905,owner principle broker ,10.0,OR,MORTGAGE,10000,60,10.9
906,business analyst,2.0,MD,RENT,10000,36,6.71
907,customer service representative ,4.0,AZ,OWN,10000,36,9.43
908,quota analyst ,10.0,IL,RENT,10000,36,10.41
909,banker,5.0,NJ,RENT,20000,36,10.9
910,process operator,10.0,WY,RENT,11000,60,16.02
911,1sg,10.0,NC,MORTGAGE,21275,36,14.08
912,manager,2.0,AZ,RENT,5000,36,10.91
913,asst project coordinator,2.0,KS,OWN,18000,36,7.34
914,plant manager,10.0,NJ,MORTGAGE,31100,60,9.92
915,dog groomer,10.0,AZ,RENT,8000,36,23.88
916,vice president emergency services ,4.0,AR,MORTGAGE,5500,36,10.9
917,rn,4.0,MA,MORTGAGE,6675,36,12.62
918,programmer,0.0,WA,MORTGAGE,20000,36,9.93
919,youthdevelopment,3.0,IN,MORTGAGE,5000,36,6.72
920,bartender/manager,3.0,GA,RENT,18000,36,21.45
921,foreman,10.0,CA,MORTGAGE,15000,60,13.59
922,assistant manager,0.0,NC,RENT,2000,36,6.72
923,right of way agent,7.0,LA,RENT,14000,60,15.04
924,,,CA,RENT,6000,36,7.97
925,production coordinator,10.0,NJ,MORTGAGE,16000,60,13.59
926,technician,3.0,NH,RENT,6000,36,9.44
927,,,IN,RENT,5200,36,10.41
928,driver/operator,10.0,VA,RENT,1000,36,6.72
929,sr project manager,5.0,MN,MORTGAGE,3500,36,7.96
930,owner,10.0,TX,OWN,8000,36,9.44
931,sr manager operations support,0.0,CO,OWN,4200,36,10.91
932,credit analyst,2.0,MO,RENT,10400,60,18.45
933,owner,8.0,MO,OWN,3500,36,13.58
934,runner,2.0,HI,RENT,12000,36,9.93
935,manager,10.0,MD,MORTGAGE,15500,36,9.44
936,finance manager,10.0,MI,MORTGAGE,25000,60,15.05
937,faculty,6.0,OR,RENT,20000,60,12.62
938,hr coordinator,10.0,LA,RENT,10000,60,10.42
939,stylist,3.0,NC,RENT,6000,36,9.44
940,legal assistant/paralegal,2.0,TN,RENT,18000,60,10.9
941,assistant service department manager ,10.0,CA,RENT,10000,60,6.72
942,mixer operator,5.0,IL,MORTGAGE,24000,60,26.77
943,branch sales officer,0.0,MI,MORTGAGE,9000,36,12.61
944,legal assistant,2.0,GA,RENT,11000,36,7.35
945,medical assistant ,4.0,NV,RENT,5000,36,6.07
946,account manager,10.0,NH,MORTGAGE,15000,36,6.72
947,owner,9.0,TX,MORTGAGE,40000,36,10.91
948,flight attendant,3.0,TX,RENT,18000,60,21.45
949,fleet manager/route check in supervisor,10.0,IN,MORTGAGE,27200,36,11.99
950,lab technician ,9.0,NC,MORTGAGE,30000,60,12.61
951,purchasing agent,3.0,MD,RENT,7500,36,7.34
952,sales,1.0,TN,RENT,7000,36,15.05
953,repair technician,10.0,WA,RENT,15000,36,7.35
954,officer,10.0,VA,MORTGAGE,40000,36,6.08
955,lead application soa architect,4.0,CA,RENT,40000,60,11.98
956,sergeant first class,10.0,AL,MORTGAGE,7500,36,21.45
957,manicurist,3.0,TX,MORTGAGE,20000,36,6.71
